index,page,anchor_y,no,hs_code,sku,code,qty,unit_price,amount,description
117,6,696.29,1270,8536,661089G,4D,6,99081.08,594486.48,Stop Kontak Universal Dengan Sakelar (GEM)(Diamond Grey)
118,6,739.46,1280,8536,66E7253M,2A,12,220864.86,2650378.32,Stop Kontak Multistandard Dengan USB A+C (Metal)(Fros ted Silver)
119,7,69.95,1290,8536,66E7253,,50,203027.03,10151351.5,engan USB A+C
120,7,106.61,1300,8536,70E725,26,8,163216.22,1305729.76,Stop Kontak Multi Standar Dengan USB Ganda (Graphite Black)
121,7,149.79,1310,8536,70E725,61,8,163216.22,1305729.76,Stop kontak multi standar de ngan USBganda (Smoky Grey)
122,7,186.45,1320,8536,70E725,,8,140027.03,1120216.24,Stop kontak multi standar de ngan USBganda
123,7,216.60,1330,3926,45DH87,,900,2108.11,1897299.0,86 Type Surface Mounting Box
124,7,245.55,1340,8536,ZD03M1687,,20,16216.22,324324.4,Schuko Socket Module
125,7,274.50,1350,8536,70E651,26,10,182594.59,1825945.9,Outlet Alat Cukur (Graphite Black)
126,7,304.65,1360,3926,S258,,30,48972.97,1469189.1,Pelindung Stop Kontak Anti Air
127,7,333.61,1370,8536,301012,,1,8777.0,8777000.0,Sakelar 1 Tombol 2 Arah
128,7,362.56,1380,8536,305218S,61,100,38837.84,3883784.0,Outlet Data Cat.6 (Smoky Grey)
129,7,392.71,1390,3926,720640,46,5,32635.14,163175.7,Bingkai Sakelar 4 (Matt Champagne)
130,7,421.66,1400,3926,S254,,40,25540.54,1021621.6,Penutup Saklar Anti Air
131,7,450.61,1410,8536,665229G,4E,6,147486.49,884918.94,Outlet Telepon & Data (GEM)(Diamond Silver)
132,7,480.76,1420,8536,665302,6R,6,146270.27,877621.62,Outlet TV & Data (Platinum Silver)
133,7,509.71,1430,3926,301000,60,100,12162.16,1216216.0,Plat Penutup (Metal Black)
134,7,538.67,1440,8536,301011,60,1,14067.57,14067570.0,Sakelar 1 Tombol 1 Arah (Metal Black)
135,7,567.62,1450,8536,301011,,10,7175.68,71756800.0,Sakelar 1 Tombol 1 Arah
136,7,596.57,1460,8536,301012,61,500,15668.92,7834460.0,Sakelar 1 Tombol 2 Arah (Smoky Grey)
137,7,626.72,1470,8536,585111,60,100,25945.95,2594595.0,Outlet TV Dengan Konektor Tipe F (Metal Black)
138,7,655.67,1480,8536,585214,60,10,25945.95,259459.5,Outlet Telepon (Metal Black)
139,7,684.62,1490,8536,581126,60,8,32027.03,256216.24,Sakelar 1 Tombol Intermedia te (Metal Black)
140,7,714.77,1500,8536,581111F,60,10,20270.27,202702.7,Sakelar Tekan (momentary) 1 Gang (Metal Black)
141,7,744.92,1510,8536,581121,60,480,19054.05,9145944.0,Sakelar 2 Tombol 1 Arah (Metal Black)
142,7,774.39,1520,8536,581122,60,80,21891.89,1751351.2,Sakelar 2 Tombol 2 Arah (Metal Black)
143,8,69.95,1530,8536,581121F,60,8,28378.38,227027.04,2 Gang (Metal Black)
144,8,100.10,1540,8536,305229,60,20,56695.95,1133919.0,Outlet Telepon & Data Cat. 5 e (Metal Black)
145,8,130.25,1550,8536,301080,60,200,35270.27,7054054.0,Stop Kontak Saklar Internasi onal 10A (Metal Black)
146,8,160.40,1560,9032,30E7253,60,160,139945.95,22391352.0,Stop Kontak Multistandard Dengan USB A+C (Metal Black)
