display_name,party_type,tin_display,country_code,transaction_code,email,address_full,buyer_document,buyer_document_number,buyer_idtku,seller_display_name,seller_internal_party_id__do_not_edit,internal_party_id__do_not_edit
PT. Thea Theo Stationary,buyer,664635943416000,IDN,4,,RUKO MODERNLAND Blok AR No.27 RT:000 RW:000 Kel.PORIS PLAWAD INDAH Kec.BATU CEPER Kota/Kab.TANGERANG BANTEN 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
CV. Surya Abadi Komputer,buyer,24563041011000,IDN,4,,GD.ITC KUNINGAN JL. PROF DR.SATRIO Blok B1 No.22 RT:000 RW:000 Kel.KUNINGAN Kec.0000 Kota/Kab.JAKARTA SELATAN DKI JAKARTA 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Pancaran Mulia Sejati,buyer,13924576431000,IDN,4,,Jl. Raya Klari Dusun Krajan Blok - No.- RT:000 RW:000 Kel.Klari Kec.Klari Kota/Kab.Karawang Jawa Barat 41371,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Fps Indonesia,buyer,24586760023000,IDN,4,,PRAMUKA RAYA Blok 00 No.165 RT:000 RW:000 Kel.0000 Kec.0000 Kota/Kab.0000 JAKARTA PUSAT 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Pelangi International Logistics,buyer,22389027042000,IDN,4,,BANGKA Blok 000 No.01 RT:000 RW:000 Kel.0000 Kec.0000 Kota/Kab.0000 JAKARTA UTARA 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Niramas Utama,buyer,15093792431000,IDN,4,,"JL.RAYA BEKASI KM.39,5 Blok - No.- RT:000 RW:000 Kel.TAMBUN Kec.TAMBUN SELATAN Kota/Kab.KAB.BEKASI JAWA BARAT 17510",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Landkrone Indo Nutri,buyer,19255611624000,IDN,4,,DUSUN WONOGRIYO Blok - No.- RT:001 RW:001 Kel.SUMBERSUKO Kec.GEMPOL Kota/Kab.PASURUAN JAWA TIMUR 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Cakra Anugerah Perkasa,buyer,27915818044000,IDN,4,,JL.KP BANADN Blok - No.10 RT:000 RW:000 Kel.- Kec.ANCOL Kota/Kab.JAKARTA UTARA DKI JAKARTA 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Moy Dairy And Food Products,buyer,744953258022000,IDN,4,,"GD. SAHID SUDIRMAN CENTER LT. 11 SUITE A, JL. JEND SUDIRMAN Blok - No.86 RT:000 RW:000 Kel.KARET TENGSIN Kec.TANAH ABANG Kota/Kab.JAKARTA PUSAT DKI JAKARTA 00000",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Sumber Sari Mas Industri,buyer,812090041452000,IDN,4,,BIZPOINT MODERN MULTI BUSINESS Blok H No.55 RT:000 RW:000 Kel.SUKA MULYA Kec.CIKUPA Kota/Kab.KAB. TANGERANG BANTEN 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Cargoport Indonesia,buyer,210614962028000,IDN,4,,JL.KH HASYIM ASHARI Blok 00 No.125 RT:000 RW:000 Kel.- Kec.- Kota/Kab.JAKARTA PUSAT DHI JAKARTA 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
