display_name,party_type,tin_display,country_code,transaction_code,email,address_full,buyer_document,buyer_document_number,buyer_idtku,seller_display_name,seller_internal_party_id__do_not_edit,internal_party_id__do_not_edit
PT. Wahyu Promocitra,buyer,16094617017000,IDN,4,,Jl. Rawabambu Rayav Ruko Grand Blok 00 No.88 RT:000 RW:000 Kel.Kebagusan Kec.Pasar Minggu Kota/Kab.Jakarta Selatan DKI Jakarta 12520,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Birotika Semesta,buyer,13107743062000,IDN,4,,"MULIA BUSINESS PARK BLD F, JL. MT. HARYONO KAV 58-60 Blok 0 No.00 RT:000 RW:000 Kel.PANCORAN Kec.MAMPANG PRAPATAN Kota/Kab.JAKARTA SELATAN DKI JAKARTA 12780",TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Freight Liner Indonesia,buyer,15268915033000,IDN,4,,JL. KALI BESAR BARAT Blok 00 No.50 RT:000 RW:000 Kel.ROA MALAKA Kec.MENTENG Kota/Kab.JAKARTA PUSAT DKI JAKARTA 11230,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Dachser Indonesia,buyer,33320730005000,IDN,4,,PURI SENTRA NIAGA JL. RAYA KALI MALANG Blok A No.3 RT:012 RW:007 Kel.CIPINANG Kec.MELAYU Kota/Kab.JAKARTA TIMUR DKI JAKARTA 13620,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Abacus Kencana Industries,buyer,17924481431000,IDN,4,,JL. RAMIN V KAWASAN INDUSTRI DELTA SILICON VI Blok G6A No.1C RT:000 RW:000 Kel.JAYAMUKTI Kec.CIKARANG PUSAT Kota/Kab.BEKASI JAWA BARAT 00000,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Jobstreet Indonesia,buyer,24923476018000,IDN,4,,"Gedung Wisma Bumi Putera Lantai 5, Jalan Sudirman kav 75 Blok - No.- RT:000 RW:000 Kel.Setia Budi Kec.Setia Budi Kota/Kab.Jakarta Selatan DKI Jakarta Selatan 12910",TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Ras Actuarial Consulting,buyer,26168567412000,IDN,4,,Jl. Tole Iskandar Ruko Mutiara Blok 000 No.2 RT:000 RW:000 Kel.Sukamaju Kec.Sukmajaya Kota/Kab.depok Jawa Barat 16415,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Angguncipta Internusa,buyer,16628141007000,IDN,4,,NUANSA COMMERCIAL ESTATE JLN TB SIMATUPANG KAV 17 Blok A01 No.03 RT:000 RW:000 Kel.- Kec.- Kota/Kab.JAKARTA TIMUR DKI JAKARTA 00000,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Tender Indonesia Commercial,buyer,20405411075000,IDN,4,,Ruko Karang Anyar permai Jl. Karang Anyar 55 Blok C No.21 RT:003 RW:006 Kel.Karang Anyar Kec.Sawah Besar Kota/Kab.Jakarta Pusat DKI Jakarta 10740,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Regus Grand Indonesia,buyer,25972373071000,IDN,4,,"GEDUNG MENARA BCA LANTAI 50, Jl. MH THAMRIN Blok 000 No.1 RT:000 RW:000 Kel.MENTENG Kec.MENTENG Kota/Kab.JAKARTA PUSAT DKI JAKARTA 10310",TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Jetec Indonesia,buyer,21944608058000,IDN,4,,"WISMA MAMPANG LT. 1 (SISI UTARA), JL. MAMPANG PRAPATAN RAYA Blok - No.01 RT:006 RW:003 Kel.MAMPANG PRAPATAN Kec.MAMPANG Kota/Kab.JAKARTA SELATAN DKI JAKARTA 12790",TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
